ID,Node Sensor Number,Name,North-South Street,East-West Street,Intersection Details,Location Type,Category,Notes,Status,Latitude,Longitude,Location
108,070,"UChicago, South Chiller",UChicago,South Chiller Plant,,,,,,41.78513,-87.59015,
107,0A9,"UChicago, Shapiro Hall",UChicago,Shapiro Hall,,,,,,41.78974,-87.58713,
111,07A,"UChicago, Oriental Museum",UChicago,Oriental Museum,,,,,,41.78898,-87.59800,
110,093,"UChicago, Law",UChicago,Law School,,,,,,41.79544,-87.59962,
103,06E,"UChicago, Logan Center",UChicago,Logan Center,,,Array of Things (?),,Live,41.78566,-87.60390,
109,074,"UChicago, Smart Museum",UChicago,Smart Museum,,,,,,41.79328,-87.60012,
105,890,"UChicago, Regenstein",UChicago,Regenstein,,,Array of Things (?),,Live,41.79221,-87.59957,"(41.792212, -87.599573)"
102,08B,"UChicago, Levi Hall",UChicago,Levi Hall,,,Array of Things (?),,Live,41.78958,-87.60093,"(41.789576, -87.600932)"
57,56,"Long Ave. & Fullterton Ave., Chicago, IL",Long Ave.,Fullterton Ave.,,,Vision Zero - Other High Crash Locations/COMPASS Study,,Live,41.92404,-87.76107,"(41.924044690911, -87.76106837235)"
70,88,"Clark St. & Wilson Ave., Chicago, IL",Clark St.,Wilson Ave.,,,Studio Gang/BET Study,,Live,41.96527,-87.66673,"(41.965271, -87.666734)"
14,094,"Ohio St  & Grand Ave, Chicago, IL",Ohio St,Grand Ave,,Lakeshore,Urban Impact on Climate & Weather,,Live,41.89200,-87.61164,"(41.8920031, -87.6116431)"
29,O38,"Damen Ave & Archer Ave, Chicago, IL",Damen Ave,Archer Ave,SEX,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,single node,Live,41.83174,-87.67532,"(41.8317438, -87.6753188)"
100,054,"Western Ave. & Addison St., Chicago, IL",Western Ave.,Addison St.,SEX,,Lane of Things,,Live,41.94673,-87.68826,"(41.946731, -87.688258)"
53,18,"Stony Island Ave. & 63rd St., Chicago, IL",Stony Island Ave.,63rd St.,,,Vision Zero - Other High Crash Locations,,Live,41.78062,-87.58646,"(41.780619, -87.586458)"
55,73,"Martin Luther King Dr. & Garfield Blvd., Chicago, IL",Martin Luther King Dr.,Garfield Blvd.,,,Vision Zero - Other High Crash Locations,,Live,41.79449,-87.61597,"(41.794487, -87.615973)"
76,067,"Ashland Ave. & 47th, Chicago, IL",Ashland Ave.,47th,,,COMPASS Study,,Live,41.80860,-87.66497,"(41.808604, -87.664973)"
47,52,"Ashland & 63rd St., Chicago, IL",Ashland,63rd St.,SWX,,Vision Zero - Pedestrian High Crash Intersection,,Live,41.77946,-87.66422,"(41.779465, -87.664221)"
21,O4F,"Ashland Ave  & 18th St, Chicago, IL",Ashland Ave,18th St,SWX,AQ,Urban Air Quality and Health Education,,Live,41.85778,-87.66833,"(41.857779, -87.6683327)"
65,81,"Wallace St. & Pershing Rd., Chicago, IL",Wallace St.,Pershing Rd.,,,COMPASS Study,,Live,41.82352,-87.64106,"(41.823523, -87.641063)"
17,O5A,"Fort Dearborn Dr  & 31st St, Chicago, IL",Fort Dearborn Dr,31st St,,Lakeshore,Urban Impact on Climate & Weather,,Live,41.83866,-87.60801,"(41.8386583, -87.608006)"
82,91,"Halsted St. & Division St., Chicago, IL",Halsted St.,Division St.,,,North Branch Framework Project,,Live,41.90364,-87.64809,"(41.903637, -87.648094)"
8,O41,"Western Ave  & Madison St, Chicago, IL",Western Ave,Madison St,,E-W transects,Urban Impact on Climate & Weather,,Live,41.88124,-87.68629,"(41.8812363, -87.6862943)"
45,7E,"Cicero Ave. & Madison St., Chicago, IL",Cicero Ave.,Madison St.,,,Vision Zero - Pedestrian High Crash Intersection,,Live,41.88050,-87.74528,"(41.880498, -87.745278)"
1,0A0,"Michigan Av & Randolph St, Chicago, IL",Michigan Av,Randolph St,,E-W transects,Urban Impact on Climate & Weather,,Live,41.88453,-87.62458,"(41.8845262, -87.6245814)"
